Date,Natural Gas Production,Trend,Seasonal,Residual
1973-01-01,1.9082491,,0.07525896655585104,
1973-02-01,1.9225431,,-0.09432937045656029,
1973-03-01,1.868431,,0.055744336369680854,
1973-04-01,1.7775611,,-0.019225290004432606,
1973-05-01,1.8592411,,0.016481935616134744,
1973-06-01,1.8020651,,-0.044700397229609945,
1973-07-01,1.8418841,,0.008605612344858158,
1973-08-01,1.8571991,,0.006680904366134754,
1973-09-01,1.8030861,,-0.06580501819592201,
1973-10-01,1.8367791,,0.010366542486702136,
1973-11-01,1.8255481,,-0.012038306006205665,
1973-12-01,1.8868081,,0.06296008415336882,
1974-01-01,1.8954241,,0.07525896655585104,
1974-02-01,1.7285121,,-0.09432937045656029,
1974-03-01,1.8606081,,0.055744336369680854,
1974-04-01,1.7479681,,-0.019225290004432606,
1974-05-01,1.8135041,,0.016481935616134744,
1974-06-01,1.7090561,,-0.044700397229609945,
1974-07-01,1.7848321,,0.008605612344858158,
1974-08-01,1.7571841,,0.006680904366134754,
1974-09-01,1.7233921,,-0.06580501819592201,
1974-10-01,1.7346561,,0.010366542486702136,
1974-11-01,1.6977921,,-0.012038306006205665,
1974-12-01,1.7571841,1.7191763854166666,0.06296008415336882,-0.02495236957003552
1975-01-01,1.7377421,1.7148371354166665,0.07525896655585104,-0.05235400197251758
1975-02-01,1.6070541,1.70886003125,-0.09432937045656029,-0.0074765607934396405
1975-03-01,1.6979231,1.7055843041666665,0.055744336369680854,-0.06340554053634745
1975-04-01,1.6325791,1.7020108041666666,-0.019225290004432606,-0.050206414162233946
1975-05-01,1.6499361,1.6977140958333332,0.016481935616134744,-0.06425993144946805
1975-06-01,1.5958231,1.69373645,-0.044700397229609945,-0.053212952770390065
1975-07-01,1.6376841,1.6894397416666667,0.008605612344858158,-0.06036125401152484
1975-08-01,1.6376841,1.6842283875,0.006680904366134754,-0.053225191866134704
1975-09-01,1.5651931,1.6792084895833332,-0.06580501819592201,-0.04821037138741134
1975-10-01,1.6080751,1.6740822187499997,0.010366542486702136,-0.07637366123670189
1975-11-01,1.5805081,1.6687432395833333,-0.012038306006205665,-0.07619683357712752
1975-12-01,1.6897551,1.6645741562499998,0.06296008415336882,-0.03777914040336869
1976-01-01,1.709521,1.6605176354166666,0.07525896655585104,-0.02625560197251761
1976-02-01,1.607521,1.6580278229166667,-0.09432937045656029,0.043822547539893536
1976-03-01,1.673821,1.6547815520833333,0.055744336369680854,-0.03670488845301418
1976-04-01,1.585081,1.6522685312499998,-0.019225290004432606,-0.04796224124556727
1976-05-01,1.633021,1.6483052604166666,0.016481935616134744,-0.03176619603280127
1976-06-01,1.60141,1.6456900520833335,-0.044700397229609945,0.00042034514627642405
1976-07-01,1.636081,1.6429185312499999,0.008605612344858158,-0.015443143594858131
1976-08-01,1.597321,1.6400012187499997,0.006680904366134754,-0.04936112311613448
1976-09-01,1.527961,1.6361320312499998,-0.06580501819592201,-0.04236601305407793
1976-10-01,1.600381,1.6332170104166663,0.010366542486702136,-0.04320255290336842
1976-11-01,1.597321,1.630496802083333,-0.012038306006205665,-0.021137496077127373
1976-12-01,1.711561,1.6286409479166666,0.06296008415336882,0.01995996792996471
1977-01-01,1.6999651,1.6286409479166668,0.07525896655585104,-0.003934814472517839
1977-02-01,1.6356421,1.6290025520833333,-0.09432937045656029,0.10096891837322705
1977-03-01,1.7111961,1.62949178125,0.055744336369680854,0.025959982380319095
1977-04-01,1.6060331,1.63006609375,-0.019225290004432606,-0.004807703745567292
1977-05-01,1.6529991,1.6307467604166663,0.016481935616134744,0.00577040396719887
1977-06-01,1.6111381,1.6310658229166664,-0.044700397229609945,0.02477267431294361
1977-07-01,1.6356421,1.6308956562499999,0.008605612344858158,-0.0038591685948579403
1977-08-01,1.6070541,1.63127853125,0.006680904366134754,-0.030905335616134712
1977-09-01,1.562131,1.6320655708333334,-0.06580501819592201,-0.004129552637411424
1977-10-01,1.5907181,1.6334056333333333,0.010366542486702136,-0.05305407582003555
1977-11-01,1.5692771,1.6357028833333334,-0.012038306006205665,-0.0543874773271276
1977-12-01,1.6866921,1.6377448833333332,0.06296008415336882,-0.014012867486702135
1978-01-01,1.7007111,1.6395574895833334,0.07525896655585104,-0.014105356139184483
1978-02-01,1.6090011,1.6411865958333334,-0.09432937045656029,0.062143874623226875
1978-03-01,1.7047871,1.6439353458333332,0.055744336369680854,0.005107417796986029
1978-04-01,1.6273431,1.6452410770833332,-0.019225290004432606,0.001327312921099423
1978-05-01,1.6232671,1.6460610770833333,0.016481935616134744,-0.03927591269946794
1978-06-01,1.5835261,1.6452952645833332,-0.044700397229609945,-0.017068767353723202
1978-07-01,1.6517991,1.6444269958333333,0.008605612344858158,-0.001233508178191376
1978-08-01,1.6171531,1.6435326208333332,0.006680904366134754,-0.03306042519946804
1978-09-01,1.5376711,1.6441473520833334,-0.06580501819592201,-0.040671233887411326
1978-10-01,1.5947351,1.6446854770833332,0.010366542486702136,-0.0603169195700353
1978-11-01,1.5672221,1.6453514583333333,-0.012038306006205665,-0.06609105232712768
1978-12-01,1.6681031,1.6466513145833335,0.06296008415336882,-0.04150829873670234
1979-01-01,1.7377421,1.6472659604166666,0.07525896655585104,0.015217173027482295
1979-02-01,1.6244111,1.6455405854166667,-0.09432937045656029,0.07319988503989369
1979-03-01,1.7214061,1.64557891875,0.055744336369680854,0.020082844880319133
1979-04-01,1.6601461,1.64654579375,-0.019225290004432606,0.03282559625443247
1979-05-01,1.6826081,1.6470263145833333,0.016481935616134744,0.019099849800531934
1979-06-01,1.6111381,1.64707379375,-0.044700397229609945,0.008764703479610003
1979-07-01,1.6295161,1.6471884604166664,0.008605612344858158,-0.02627797276152458
1979-08-01,1.6560621,1.6487759395833332,0.006680904366134754,0.0006052560505319885
1979-09-01,1.602971,1.6486676291666664,-0.06580501819592201,0.020108389029255505
1979-10-01,1.6723981,1.6493116916666666,0.010366542486702136,0.012719865846631394
1979-11-01,1.6907761,1.6491828791666665,-0.012038306006205665,0.053631526839539055
1979-12-01,1.7877711,1.6493679833333332,0.06296008415336882,0.07544303251329801
1980-01-01,1.7965261,1.6495524208333332,0.07525896655585104,0.07171471261081566
1980-02-01,1.6857181,1.6486705666666666,-0.09432937045656029,0.13137690378989383
1980-03-01,1.805761,1.6476778374999999,0.055744336369680854,0.10233882613031925
1980-04-01,1.6477561,1.6463496083333333,-0.019225290004432606,0.020631781671099338
1980-05-01,1.672381,1.6445066291666666,0.016481935616134744,0.011392435217198585
1980-06-01,1.564651,1.6425278374999999,-0.044700397229609945,-0.033176440270389906
1980-07-01,1.5944041,1.639555025,0.008605612344858158,-0.05375653734485811
1980-08-01,1.554391,1.6366186708333332,0.006680904366134754,-0.0889085751994679
1980-09-01,1.5574681,1.6340746083333333,-0.06580501819592201,-0.010801490137411371
1980-10-01,1.626211,1.6309413979166665,0.010366542486702136,-0.015096940403368543
1980-11-01,1.6292881,1.6287026249999998,-0.012038306006205665,0.012623781006205722
1980-12-01,1.7739541,1.6250688958333332,0.06296008415336882,0.08592512001329802
1981-01-01,1.7294681,1.6216035,0.07525896655585104,0.032605633444149046
1981-02-01,1.5528241,1.6161678125,-0.09432937045656029,0.030985657956560247
1981-03-01,1.7130361,1.6095275833333333,0.055744336369680854,0.04776418029698586
1981-04-01,1.6524431,1.6035814791666665,-0.019225290004432606,0.06808691083776605
1981-05-01,1.6760641,1.5970963333333332,0.016481935616134744,0.062485831050532084
1981-06-01,1.6134171,1.5912038124999999,-0.044700397229609945,0.06691368472961001
1981-07-01,1.6411461,1.5859283958333332,0.008605612344858158,0.04661209182180867
1981-08-01,1.6832531,1.5795967291666666,0.006680904366134754,0.0969754664671986
1981-09-01,1.5569321,1.5730221895833334,-0.06580501819592201,0.04971492861258865
1981-10-01,1.6216331,1.5663696270833332,0.010366542486702136,0.04489693042996464
1981-11-01,1.5630941,1.5592573145833333,-0.012038306006205665,0.015875091422872432
1981-12-01,1.6955771,1.5524948124999998,0.06296008415336882,0.08012220334663137
1982-01-01,1.7095641,1.5505357479166664,0.07525896655585104,0.0837693855274825
1982-02-01,1.5666721,1.5462183104166665,-0.09432937045656029,0.11478316003989372
1982-03-01,1.6571361,1.5402883749999998,0.055744336369680854,0.061103388630319326
1982-04-01,1.5635881,1.5369689999999998,-0.019225290004432606,0.045844390004432835
1982-05-01,1.5348041,1.5330595437499999,0.016481935616134744,-0.014737379366134715
1982-06-01,1.4885441,1.5304191916666667,-0.044700397229609945,0.0028253055629431367
1982-07-01,1.5091041,1.5282699,0.008605612344858158,-0.027771412344858058
1982-08-01,1.4762081,1.5264999854166668,0.006680904366134754,-0.05697278978280149
1982-09-01,1.4155561,1.5232215270833334,-0.06580501819592201,-0.04186040888741126
1982-10-01,1.444341,1.5200015270833331,0.010366542486702136,-0.08602706957003517
1982-11-01,1.459761,1.5166555458333333,-0.012038306006205665,-0.04485623982712753
1982-12-01,1.4936841,1.5128995458333332,0.06296008415336882,-0.08217552998670194
1983-01-01,1.5714031,1.5105207333333333,0.07525896655585104,-0.014376599889184355
1983-02-01,1.3634981,1.5087332958333333,-0.09432937045656029,-0.050905825376773045
1983-03-01,1.4026751,1.5035472541666666,0.055744336369680854,-0.15661649053634746
1983-04-01,1.3747331,1.4978655041666666,-0.019225290004432606,-0.103907114162234
1983-05-01,1.3713211,1.4913890666666667,0.016481935616134744,-0.1365499022828014
1983-06-01,1.3282971,1.48525165,-0.044700397229609945,-0.11225415277039008
1983-07-01,1.3762961,1.4792015458333334,0.008605612344858158,-0.11151105817819154
1983-08-01,1.3521421,1.4722103583333332,0.006680904366134754,-0.12674916269946798
1983-09-01,1.2873931,1.4672917125,-0.06580501819592201,-0.11409359430407794
1983-10-01,1.3530751,1.4621797958333334,0.010366542486702136,-0.1194712383200354
